TrainingFile,DBFile,DTWDistance
training_set\Gari\0.wav,class_reprentative\Tamir\0.wav,10.506484012120271
training_set\Gari\0.wav,class_reprentative\Tamir\1.wav,14.596563010284234
training_set\Gari\0.wav,class_reprentative\Tamir\2.wav,33.55724663186635
training_set\Gari\0.wav,class_reprentative\Tamir\3.wav,26.53283740104303
training_set\Gari\0.wav,class_reprentative\Tamir\4.wav,16.13050168934096
training_set\Gari\0.wav,class_reprentative\Tamir\5.wav,17.794223408700628
training_set\Gari\0.wav,class_reprentative\Tamir\6.wav,27.827346450556487
training_set\Gari\0.wav,class_reprentative\Tamir\7.wav,14.417964744510018
training_set\Gari\0.wav,class_reprentative\Tamir\8.wav,19.380835915680258
training_set\Gari\0.wav,class_reprentative\Tamir\9.wav,15.26110783186225
training_set\Gari\1.wav,class_reprentative\Tamir\0.wav,20.755886769512696
training_set\Gari\1.wav,class_reprentative\Tamir\1.wav,13.541363274510603
training_set\Gari\1.wav,class_reprentative\Tamir\2.wav,32.42287212973851
training_set\Gari\1.wav,class_reprentative\Tamir\3.wav,25.43845935579593
training_set\Gari\1.wav,class_reprentative\Tamir\4.wav,14.303796503162383
training_set\Gari\1.wav,class_reprentative\Tamir\5.wav,15.42107810078891
training_set\Gari\1.wav,class_reprentative\Tamir\6.wav,31.597170585327504
training_set\Gari\1.wav,class_reprentative\Tamir\7.wav,19.01192206977427
training_set\Gari\1.wav,class_reprentative\Tamir\8.wav,17.08617139456607
training_set\Gari\1.wav,class_reprentative\Tamir\9.wav,25.537385633422296
training_set\Gari\2.wav,class_reprentative\Tamir\0.wav,23.722313648256005
training_set\Gari\2.wav,class_reprentative\Tamir\1.wav,14.366896030659447
training_set\Gari\2.wav,class_reprentative\Tamir\2.wav,9.748505634766648
training_set\Gari\2.wav,class_reprentative\Tamir\3.wav,9.389055911037328
training_set\Gari\2.wav,class_reprentative\Tamir\4.wav,16.384970322300568
training_set\Gari\2.wav,class_reprentative\Tamir\5.wav,15.295657342674176
training_set\Gari\2.wav,class_reprentative\Tamir\6.wav,22.86985327588384
training_set\Gari\2.wav,class_reprentative\Tamir\7.wav,21.371617129732364
training_set\Gari\2.wav,class_reprentative\Tamir\8.wav,10.025555231265043
