TrainingFile,DBFile,DTWDistance
training_set\Gari\0.wav,class_reprentative\Tamir\0.wav,178.49903037119657
training_set\Gari\0.wav,class_reprentative\Tamir\1.wav,253.74550611898303
training_set\Gari\0.wav,class_reprentative\Tamir\2.wav,340.5517904907465
training_set\Gari\0.wav,class_reprentative\Tamir\3.wav,318.5191755145788
training_set\Gari\0.wav,class_reprentative\Tamir\4.wav,242.73398516979069
training_set\Gari\0.wav,class_reprentative\Tamir\5.wav,271.27364500332624
training_set\Gari\0.wav,class_reprentative\Tamir\6.wav,359.00937490165234
training_set\Gari\0.wav,class_reprentative\Tamir\7.wav,206.08867116551846
training_set\Gari\0.wav,class_reprentative\Tamir\8.wav,307.4521179450676
training_set\Gari\0.wav,class_reprentative\Tamir\9.wav,230.96411232836545
training_set\Gari\1.wav,class_reprentative\Tamir\0.wav,89.93904661480337
training_set\Gari\1.wav,class_reprentative\Tamir\1.wav,108.7132235514
training_set\Gari\1.wav,class_reprentative\Tamir\2.wav,161.64792712777853
training_set\Gari\1.wav,class_reprentative\Tamir\3.wav,145.9150467859581
training_set\Gari\1.wav,class_reprentative\Tamir\4.wav,99.62295569758862
training_set\Gari\1.wav,class_reprentative\Tamir\5.wav,114.9358010403812
training_set\Gari\1.wav,class_reprentative\Tamir\6.wav,175.32720740046352
training_set\Gari\1.wav,class_reprentative\Tamir\7.wav,94.04980495385826
training_set\Gari\1.wav,class_reprentative\Tamir\8.wav,141.0860948599875
training_set\Gari\1.wav,class_reprentative\Tamir\9.wav,115.95807794202119
training_set\Gari\2.wav,class_reprentative\Tamir\0.wav,71.72850523050874
training_set\Gari\2.wav,class_reprentative\Tamir\1.wav,69.83503525611013
training_set\Gari\2.wav,class_reprentative\Tamir\2.wav,87.20611172541976
training_set\Gari\2.wav,class_reprentative\Tamir\3.wav,79.49383553303778
training_set\Gari\2.wav,class_reprentative\Tamir\4.wav,68.31033369526267
training_set\Gari\2.wav,class_reprentative\Tamir\5.wav,71.5402423106134
training_set\Gari\2.wav,class_reprentative\Tamir\6.wav,129.54281693696976
training_set\Gari\2.wav,class_reprentative\Tamir\7.wav,67.85984257142991
training_set\Gari\2.wav,class_reprentative\Tamir\8.wav,91.17338017001748
training_set\Gari\2.wav,class_reprentative\Tamir\9.wav,96.091013639234
training_set\Gari\3.wav,class_reprentative\Tamir\0.wav,47.556253778748214
training_set\Gari\3.wav,class_reprentative\Tamir\1.wav,50.42506774049252
training_set\Gari\3.wav,class_reprentative\Tamir\2.wav,65.87679625488818
training_set\Gari\3.wav,class_reprentative\Tamir\3.wav,62.245447747409344
training_set\Gari\3.wav,class_reprentative\Tamir\4.wav,50.11489813774824
training_set\Gari\3.wav,class_reprentative\Tamir\5.wav,51.17882585991174
training_set\Gari\3.wav,class_reprentative\Tamir\6.wav,96.62589485943317
training_set\Gari\3.wav,class_reprentative\Tamir\7.wav,47.948003579862416
training_set\Gari\3.wav,class_reprentative\Tamir\8.wav,65.73618672322482
training_set\Gari\3.wav,class_reprentative\Tamir\9.wav,70.88810714054853
training_set\Gari\4.wav,class_reprentative\Tamir\0.wav,133.21568192820996
training_set\Gari\4.wav,class_reprentative\Tamir\1.wav,164.29746107198298
training_set\Gari\4.wav,class_reprentative\Tamir\2.wav,226.9040596401319
training_set\Gari\4.wav,class_reprentative\Tamir\3.wav,209.3227498503402
training_set\Gari\4.wav,class_reprentative\Tamir\4.wav,143.11879770457745
training_set\Gari\4.wav,class_reprentative\Tamir\5.wav,168.27083995565772
training_set\Gari\4.wav,class_reprentative\Tamir\6.wav,248.4260360803455
training_set\Gari\4.wav,class_reprentative\Tamir\7.wav,133.59786020033062
training_set\Gari\4.wav,class_reprentative\Tamir\8.wav,199.04670718498528
training_set\Gari\4.wav,class_reprentative\Tamir\9.wav,161.87129058502614
training_set\Gari\5.wav,class_reprentative\Tamir\0.wav,37.64009225927293
training_set\Gari\5.wav,class_reprentative\Tamir\1.wav,44.55464187450707
training_set\Gari\5.wav,class_reprentative\Tamir\2.wav,63.52708529308438
training_set\Gari\5.wav,class_reprentative\Tamir\3.wav,58.234948858618736
training_set\Gari\5.wav,class_reprentative\Tamir\4.wav,39.52487404644489
training_set\Gari\5.wav,class_reprentative\Tamir\5.wav,41.19205030426383
training_set\Gari\5.wav,class_reprentative\Tamir\6.wav,74.87448097206652
training_set\Gari\5.wav,class_reprentative\Tamir\7.wav,35.90790590643883
training_set\Gari\5.wav,class_reprentative\Tamir\8.wav,55.47120002377778
training_set\Gari\5.wav,class_reprentative\Tamir\9.wav,52.13751041982323
training_set\Gari\6.wav,class_reprentative\Tamir\0.wav,40.239523496478796
training_set\Gari\6.wav,class_reprentative\Tamir\1.wav,30.686866736970842
training_set\Gari\6.wav,class_reprentative\Tamir\2.wav,32.029345037415624
training_set\Gari\6.wav,class_reprentative\Tamir\3.wav,33.38937322050333
training_set\Gari\6.wav,class_reprentative\Tamir\4.wav,36.58397210948169
training_set\Gari\6.wav,class_reprentative\Tamir\5.wav,30.917187695391476
training_set\Gari\6.wav,class_reprentative\Tamir\6.wav,33.941905428655446
training_set\Gari\6.wav,class_reprentative\Tamir\7.wav,35.583349199034274
training_set\Gari\6.wav,class_reprentative\Tamir\8.wav,35.29223285242915
training_set\Gari\6.wav,class_reprentative\Tamir\9.wav,42.56493955850601
training_set\Gari\7.wav,class_reprentative\Tamir\0.wav,49.008292314596474
training_set\Gari\7.wav,class_reprentative\Tamir\1.wav,59.21885540429503
training_set\Gari\7.wav,class_reprentative\Tamir\2.wav,75.96797856595367
training_set\Gari\7.wav,class_reprentative\Tamir\3.wav,70.86285154055804
training_set\Gari\7.wav,class_reprentative\Tamir\4.wav,53.88881962746382
training_set\Gari\7.wav,class_reprentative\Tamir\5.wav,56.57860193308443
training_set\Gari\7.wav,class_reprentative\Tamir\6.wav,93.16281436011195
training_set\Gari\7.wav,class_reprentative\Tamir\7.wav,46.78346230555326
training_set\Gari\7.wav,class_reprentative\Tamir\8.wav,70.92034721653908
training_set\Gari\7.wav,class_reprentative\Tamir\9.wav,67.64424805808812
training_set\Gari\8.wav,class_reprentative\Tamir\0.wav,70.26158788334578
training_set\Gari\8.wav,class_reprentative\Tamir\1.wav,86.35631341394037
training_set\Gari\8.wav,class_reprentative\Tamir\2.wav,113.27735733613372
training_set\Gari\8.wav,class_reprentative\Tamir\3.wav,102.81347314361483
training_set\Gari\8.wav,class_reprentative\Tamir\4.wav,80.58022869657725
training_set\Gari\8.wav,class_reprentative\Tamir\5.wav,94.5301117496565
training_set\Gari\8.wav,class_reprentative\Tamir\6.wav,142.3226086134091
training_set\Gari\8.wav,class_reprentative\Tamir\7.wav,69.90022806823254
training_set\Gari\8.wav,class_reprentative\Tamir\8.wav,103.88031451497227
training_set\Gari\8.wav,class_reprentative\Tamir\9.wav,93.6930100088939
training_set\Gari\9.wav,class_reprentative\Tamir\0.wav,55.93526064045727
training_set\Gari\9.wav,class_reprentative\Tamir\1.wav,67.77317636366934
training_set\Gari\9.wav,class_reprentative\Tamir\2.wav,101.77690004557371
training_set\Gari\9.wav,class_reprentative\Tamir\3.wav,90.87874261569232
training_set\Gari\9.wav,class_reprentative\Tamir\4.wav,61.632295343093574
training_set\Gari\9.wav,class_reprentative\Tamir\5.wav,70.68662948161364
training_set\Gari\9.wav,class_reprentative\Tamir\6.wav,117.6782503882423
training_set\Gari\9.wav,class_reprentative\Tamir\7.wav,59.9307008953765
training_set\Gari\9.wav,class_reprentative\Tamir\8.wav,84.4128817813471
training_set\Gari\9.wav,class_reprentative\Tamir\9.wav,75.33501718379557
training_set\Koral\0.wav,class_reprentative\Tamir\0.wav,27.21750702895224
training_set\Koral\0.wav,class_reprentative\Tamir\1.wav,13.688910968601704
training_set\Koral\0.wav,class_reprentative\Tamir\2.wav,14.112822358496487
training_set\Koral\0.wav,class_reprentative\Tamir\3.wav,15.898841875605285
training_set\Koral\0.wav,class_reprentative\Tamir\4.wav,17.618869540281594
training_set\Koral\0.wav,class_reprentative\Tamir\5.wav,11.579494674690068
training_set\Koral\0.wav,class_reprentative\Tamir\6.wav,7.2642781510949135
training_set\Koral\0.wav,class_reprentative\Tamir\7.wav,25.492719911970198
training_set\Koral\0.wav,class_reprentative\Tamir\8.wav,7.156945104710758
training_set\Koral\0.wav,class_reprentative\Tamir\9.wav,18.294803119264543
training_set\Koral\1.wav,class_reprentative\Tamir\0.wav,13.107144140638411
training_set\Koral\1.wav,class_reprentative\Tamir\1.wav,7.04661800339818
training_set\Koral\1.wav,class_reprentative\Tamir\2.wav,11.401160492561758
training_set\Koral\1.wav,class_reprentative\Tamir\3.wav,8.988088363781571
training_set\Koral\1.wav,class_reprentative\Tamir\4.wav,9.162077675573528
training_set\Koral\1.wav,class_reprentative\Tamir\5.wav,6.892972704954445
training_set\Koral\1.wav,class_reprentative\Tamir\6.wav,9.40458866674453
training_set\Koral\1.wav,class_reprentative\Tamir\7.wav,15.741510903462768
training_set\Koral\1.wav,class_reprentative\Tamir\8.wav,5.515609359368682
training_set\Koral\1.wav,class_reprentative\Tamir\9.wav,12.614920032210648
training_set\Koral\2.wav,class_reprentative\Tamir\0.wav,28.042611887678504
training_set\Koral\2.wav,class_reprentative\Tamir\1.wav,10.53410847298801
training_set\Koral\2.wav,class_reprentative\Tamir\2.wav,5.7668695310130715
training_set\Koral\2.wav,class_reprentative\Tamir\3.wav,7.735557648353279
training_set\Koral\2.wav,class_reprentative\Tamir\4.wav,16.178284817375243
training_set\Koral\2.wav,class_reprentative\Tamir\5.wav,10.057172514498234
training_set\Koral\2.wav,class_reprentative\Tamir\6.wav,7.929387531243265
training_set\Koral\2.wav,class_reprentative\Tamir\7.wav,24.281331345438957
