TrainingFile,DBFile,DTWDistance
evaluation_set\David\0.wav,class_reprentative\Tamir\0.wav,4.081479319739341
evaluation_set\David\0.wav,class_reprentative\Tamir\1.wav,4.91413487492529
evaluation_set\David\0.wav,class_reprentative\Tamir\2.wav,10.423013443871497
evaluation_set\David\0.wav,class_reprentative\Tamir\3.wav,8.626930375230272
evaluation_set\David\0.wav,class_reprentative\Tamir\4.wav,4.9211941663269645
evaluation_set\David\0.wav,class_reprentative\Tamir\5.wav,6.076503346598531
evaluation_set\David\0.wav,class_reprentative\Tamir\6.wav,11.023633470497735
evaluation_set\David\0.wav,class_reprentative\Tamir\7.wav,5.00568126074354
evaluation_set\David\0.wav,class_reprentative\Tamir\8.wav,7.447372694941928
evaluation_set\David\0.wav,class_reprentative\Tamir\9.wav,5.460484809166676
evaluation_set\David\1.wav,class_reprentative\Tamir\0.wav,4.442896270379369
evaluation_set\David\1.wav,class_reprentative\Tamir\1.wav,5.130401979669684
evaluation_set\David\1.wav,class_reprentative\Tamir\2.wav,11.123426053044987
evaluation_set\David\1.wav,class_reprentative\Tamir\3.wav,9.44814125712454
evaluation_set\David\1.wav,class_reprentative\Tamir\4.wav,5.043534834205403
evaluation_set\David\1.wav,class_reprentative\Tamir\5.wav,6.194579603842481
evaluation_set\David\1.wav,class_reprentative\Tamir\6.wav,11.290336030105703
evaluation_set\David\1.wav,class_reprentative\Tamir\7.wav,5.24142059890058
evaluation_set\David\1.wav,class_reprentative\Tamir\8.wav,7.777693632694349
evaluation_set\David\1.wav,class_reprentative\Tamir\9.wav,5.987698044116171
evaluation_set\David\2.wav,class_reprentative\Tamir\0.wav,7.1111331546834196
evaluation_set\David\2.wav,class_reprentative\Tamir\1.wav,2.7330053431708583
evaluation_set\David\2.wav,class_reprentative\Tamir\2.wav,1.9794561174421454
evaluation_set\David\2.wav,class_reprentative\Tamir\3.wav,2.397106602646847
evaluation_set\David\2.wav,class_reprentative\Tamir\4.wav,4.2066234131978195
evaluation_set\David\2.wav,class_reprentative\Tamir\5.wav,3.282171236208889
evaluation_set\David\2.wav,class_reprentative\Tamir\6.wav,2.347937381023229
evaluation_set\David\2.wav,class_reprentative\Tamir\7.wav,5.968892214476423
evaluation_set\David\2.wav,class_reprentative\Tamir\8.wav,1.8579298613758166
evaluation_set\David\2.wav,class_reprentative\Tamir\9.wav,4.565866394908095
evaluation_set\David\3.wav,class_reprentative\Tamir\0.wav,5.211483381247069
evaluation_set\David\3.wav,class_reprentative\Tamir\1.wav,2.2015343793126454
evaluation_set\David\3.wav,class_reprentative\Tamir\2.wav,2.4034512778393307
evaluation_set\David\3.wav,class_reprentative\Tamir\3.wav,2.245530023505239
